Symbol;Company Name
VZ;Verizon Communications Inc.
V;Visa Inc.
MRK;Merck & Co. Inc.
CSCO;Cisco Systems Inc.
PG;The Procter & Gamble Company
JPM;JPMorgan Chase & Co.
KO;The Coca-Cola Company
MSFT;Microsoft Corporation
TRV;The Travelers Companies Inc.
NKE;NIKE Inc.
WBA;Walgreens Boots Alliance Inc.
MCD;McDonald's Corporation
WMT;Walmart Inc.
HD;The Home Depot Inc.
BA;The Boeing Company
AXP;American Express Company
UTX;United Technologies Corporation
PFE;Pfizer Inc.
IBM;International Business Machines Corporation
CVX;Chevron Corporation
JNJ;Johnson & Johnson
DOW;Dow Inc.
UNH;UnitedHealth Group Incorporated
MMM;3M Company
DIS;The Walt Disney Company
INTC;Intel Corporation
GS;The Goldman Sachs Group, Inc.
AAPL;Apple Inc.
XOM;Exxon Mobil Corporation
CAT;Caterpillar Inc.
